Instance    Solved    Time    Nodes-Expanded    Distance
-----------------------------------------------------------------------------
7 15 8 1 13 6 3 12 11 B 4 10 9 5 2 14    True    3558809    58709353    51
14 13 15 7 11 12 9 5 6 B 1 2 4 8 10 3    True    1393638    25044236    61
13 5 4 10 9 12 8 B 2 3 7 1 15 14 11 6    True    402505    6650382    48
14 7 8 1 13 11 10 4 9 12 5 B 3 6 2 15    True    1385196    23506349    53
5 12 10 7 15 11 14 B 8 1 2 13 3 4 9 6    True    2261538    38514502    60
4 7 14 13 10 3 9 12 11 5 6 15 2 1 8 B    True    7000695    119995468    58
14 7 2 9 12 3 6 15 8 11 1 5 10 B 4 13    True    11957805    204743284    60
1 11 15 5 13 4 6 7 12 8 10 2 9 3 14 B    True    5781516    97529335    54
12 11 15 3 8 B 4 1 6 13 9 5 14 2 10 7    True    54317365    932381001    58
3 14 9 11 5 4 8 1 13 12 6 7 10 2 15 B    True    8789    125785    44
13 11 8 9 14 15 7 10 4 3 6 B 5 12 2 1    True    13210103    228373098    63
5 9 13 14 6 3 7 12 10 8 4 B 15 1 11 2    True    3172310    53565867    55
14 2 9 6 4 8 12 5 7 1 3 B 10 11 13 15    True    99277    1659621    49
3 6 5 1 10 B 15 14 2 4 13 12 9 8 11 7    True    1273544    21110663    50
7 6 8 2 11 5 14 10 3 4 9 13 15 1 B 12    True    590373    9789765    53
13 11 4 12 2 8 9 15 6 5 14 1 7 3 10 B    True    1037830    17337218    54
2 3 1 5 10 9 15 6 8 14 13 11 12 4 7 B    True    148566    2500825    50
15 14 B 4 11 2 6 13 7 5 8 9 3 1 10 12    True    1713753    29041406    56
6 B 14 12 2 15 9 10 11 4 7 1 8 3 5 13    True    8445120    140867409    61
7 11 8 3 14 B 6 15 2 4 13 9 5 12 1 10    True    494    8701    46
6 12 11 3 13 7 9 15 1 14 8 10 4 2 5 B    True    1485508    23493296    56
12 8 14 6 11 4 7 B 5 2 10 15 3 13 9 1    True    585425    9665696    56
B 3 9 1 14 8 4 5 11 7 10 13 15 2 12 6    True    340148    5427624    54
10 9 3 11 15 13 2 B 5 6 4 7 8 14 1 12    True    52307    857985    48
7 3 14 13 4 2 10 8 5 12 9 11 1 15 6 B    True    7253342    118025267    56
11 4 1 7 2 B 10 15 6 9 14 8 3 13 5 12    True    27225    445440    44
5 7 3 12 14 13 B 8 15 10 9 6 1 4 2 11    True    5880804    97377639    51
14 2 8 15 1 6 B 3 9 12 10 13 4 7 5 11    True    851351    14581873    51
13 14 6 12 4 5 2 B 9 3 10 1 15 11 8 7    True    8004962    136890966    54
9 8 B 1 15 2 4 14 3 10 7 5 11 13 6 12    True    246738    4112309    50
12 15 1 6 2 14 4 8 5 3 7 B 10 13 9 11    True    79367    1316828    45
12 8 15 13 2 B 5 4 6 3 1 11 9 7 14 10    True    85706    1440972    48
14 10 9 4 13 6 5 8 1 12 7 B 2 3 11 15    True    143724    2412599    47
B 3 5 15 11 6 13 9 14 10 2 12 4 1 7 8    True    410685168    6745339775    62
6 11 7 8 13 1 5 4 2 10 3 9 14 B 12 15    True    492421    7997602    44
1 6 12 B 3 2 15 8 4 5 13 9 14 7 11 10    True    374115    6167615    47
12 6 B 4 7 3 15 2 13 9 8 11 1 14 5 10    True    610273    10311395    50
8 2 7 12 11 B 10 5 9 15 6 13 14 1 3 4    True    125112361    2048226332    58
9 B 4 10 2 14 15 3 12 6 5 7 11 13 8 1    True    943897    15280279    53
11 5 2 14 4 12 10 B 1 7 13 3 9 15 6 8    True    218972    3339780    48
8 13 10 9 11 3 14 6 15 1 2 B 12 5 4 7    True    2346725    39836367    61
4 5 7 2 9 B 12 13 14 3 6 11 8 1 15 10    True    5676361    92801233    52
11 15 14 13 2 9 10 4 3 6 1 12 7 5 8 B    True    80459105    1319220051    62
12 9 B 6 8 3 5 14 1 4 11 7 10 2 15 13    True    10738058    175593514    56
3 14 9 7 12 15 B 4 2 8 5 6 11 10 1 13    True    305232    5133398    53
8 4 6 2 14 12 1 15 13 10 9 5 3 7 B 11    True    645297    11087543    53
6 10 2 14 15 8 3 5 13 B 1 7 4 9 11 12    True    698923    11840125    51
8 11 4 6 7 3 10 9 2 12 14 13 15 1 5 B    True    7811009    128373386    58
10 B 1 4 5 2 6 12 11 13 9 7 15 3 14 8    True    211572    3156847    43
12 5 13 11 1 10 B 9 7 8 4 3 14 6 15 2    True    2801146    45033091    55
10 1 8 4 15 B 2 14 11 13 3 6 9 7 5 12    True    3554    55813    42
10 8 B 12 3 7 6 1 2 14 4 11 15 13 9 5    True    14422644    232484961    54
